,GDP (Dollars),date,Adjusted savings: natural resources depletion (% of GNI),Agricultural land (% of land area),CO2 emissions (metric tons per capita),"Energy imports, net (% of energy use)",Energy use (kg of oil equivalent per capita),"Fertility rate, total (births per woman)",Food production index (2004-2006 = 100),GDP growth (annual %),"Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Mortality rate, under-5 (per 1,000 live births)","Patent applications, residents",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of overweight (% of adults)
15,7639749000000.0,1995.0,0.417573547294806,45.8719112213614,19.2765452647233,19.740846424213604,7763.75510556636,1.9780000000000002,83.89,2.6842871338757,4.0999999046,75.62195121951221,9.5,123962.0,12.6625104800809,29.0729515141457,54.8
16,8073122000000.0,1996.0,0.565289959277584,45.453413924725105,19.4960247370023,20.583534817836302,7844.46826581141,1.976,87.78,3.7725013199817004,3.9000000954000003,76.0268292682927,9.2,106892.0,12.610981654152699,29.4131648134723,55.6
17,8577554457000.0,1997.0,0.4102366012241429,45.2982653052312,19.690363181579798,21.509824949492696,7828.581096395841,1.9709999999999999,91.18,4.44721633956435,3.7999999523000003,76.4292682926829,8.9,119214.0,12.545806175682001,29.7694279699879,56.3
18,9062818202000.0,1998.0,0.222560009374101,45.265838042747205,19.579236201033897,21.5698941494774,7803.697604529929,1.999,92.09,4.48140755308913,3.7000000476999997,76.58048780487809,8.8,134733.0,12.473011522207802,30.1184850681737,57.1
19,9630664202000.0,1999.0,0.328864327880526,45.1893009686689,19.727169506164,24.457411175976898,7923.22389263188,2.0075,93.72,4.75323599078349,3.5999999045999997,76.58292682926829,8.6,149251.0,12.3997197611975,30.4663411566379,57.9
20,10252345464000.0,2000.0,0.624416496849919,45.230584855576105,20.1787505069199,26.659419586712303,8056.86384994775,2.056,95.96,4.1274840114197495,3.49,76.6365853658537,8.4,164795.0,12.3337392660218,30.7973013298523,58.6
21,10581821399000.0,2001.0,0.5085453283546261,45.290070203625405,19.636505067718698,24.300537166690503,7827.88632537183,2.0305,93.67,0.998340800315447,3.47,76.83658536585371,8.3,177513.0,12.3139292858862,31.1036283879362,59.3
22,10936419054000.0,2002.0,0.32536608483405893,45.0848730397122,19.613404076881398,26.60412855113,7843.34484914192,2.0205,94.09,1.7416952430289399,3.39,76.9365853658537,8.2,184245.0,12.291565660149601,31.393549932765197,60.0
23,11458243878000.0,2003.0,0.476881007185843,45.1788489748874,19.5641045293305,27.726180617665,7794.23553026383,2.0475,95.66,2.86121077200275,3.33,77.0365853658537,8.1,188941.0,12.2776805891466,31.6645346171981,60.7
24,12213729147000.0,2004.0,0.6652611898732429,44.91645855890471,19.6583711815214,28.6955706933386,7881.578642064051,2.0515,100.53,3.7988911226479303,3.26,77.4878048780488,8.1,189536.0,12.2825855574362,31.9589450682826,61.3
25,13036640230000.0,2005.0,0.7285682230637599,44.945164332367,19.5918852294317,29.659179283594398,7846.49968849973,2.057,99.3,3.51321379594287,3.2,77.4878048780488,8.0,207867.0,12.3117114938844,32.2548765979183,61.9
26,13814611414000.0,2006.0,0.6084625638451501,44.664744125685395,19.0940665201349,27.972123426391697,7697.6525350004085,2.108,100.18,2.85497229827358,3.18,77.6878048780488,7.9,221784.0,12.3809160556302,32.5673998463204,62.5
27,14451858656000.0,2007.0,0.5730470552096739,45.062344328481394,19.217897835532,28.585606884949,7758.16598577052,2.12,104.84,1.87617145523009,3.14,77.9878048780488,7.7,241347.0,12.4718681790523,32.8786113609374,63.1
28,14712844084000.0,2008.0,0.9620706863073091,45.183515543180505,18.461763868080197,25.2640713700468,7488.08192070473,2.072,107.59,-0.136579804247219,3.13,78.0390243902439,7.6,231588.0,12.595114597901098,33.2436868537795,63.7
29,14448933025000.0,2009.0,0.343418423602281,44.817083669493705,17.1577377931966,22.124983702631198,7056.78365282718,2.002,109.89,-2.5367570696286204,3.08,78.390243902439,7.5,224912.0,12.7626484656842,33.5363992251367,64.2
30,14992052727000.0,2010.0,0.34818457288513804,44.6493314508353,17.4431109038447,22.2092008982127,7161.553355269979,1.931,110.27,2.56376656343198,3.05,78.5414634146342,7.3,241977.0,12.9817726024576,33.8151813298176,64.8
31,15542581104000.0,2011.0,0.46881968634965204,44.2386282142943,16.9152017650556,18.554976759716002,7030.554960568771,1.8945,109.06,1.55083550424324,2.97,78.64146341463409,7.2,247750.0,13.2502621355322,34.0595352569358,65.3
32,16197007349000.0,2012.0,0.329954764850732,44.67997533730821,16.1934293295892,15.6917290892051,6873.04927088303,1.8805,107.97,2.24954585097743,2.93,78.7414634146342,7.1,268782.0,13.561432027246802,34.3081426238218,65.8
33,16784849196000.0,2013.0,0.35807031703077397,44.366792767796795,16.3622241347427,13.943431510190699,6907.04604045685,1.8575,113.51,1.84208107011949,2.89,78.7414634146342,7.0,287831.0,13.905044308110499,34.544572677323195,66.4
34,17527163695000.0,2014.0,0.308207133049047,44.5880368453619,16.4165759129484,9.21446550107214,6962.54981699587,1.8625,117.03,2.52597345040711,2.83,78.84146341463409,6.9,285096.0,14.2676996042196,34.796806968522304,66.9
35,18224704440000.0,2015.0,0.0726485767716836,44.369067999501496,15.989866258055999,7.308743454822769,6806.19993946204,1.8435,116.61,2.9080218612834305,2.8,78.69024390243901,6.8,288335.0,14.642884712276098,35.0519778254415,67.4
